Time,P300_G0.1,P400_G0.1,P100_G0.3,P100_G0.05,P200_G0.05,P100_G0.1,P300_G0.05,P300_G0.3,P400_G0.3,P200_G0.3,P200_G0.1,P400_G0.3
0,300,400,100,100,200,100,300,300,400,200,200,400
1,330,440,130,105,210,110,315,390,520,260,220,420
2,363,484,169,110.25,220.5,121,330.75,507,676,338,242,441
3,399.3,532.4,219.7,115.7625,231.525,133.1,347.2875,659.1,878.8,439.4,266.2,463.05
4,439.23,585.64,285.61,121.550625,243.10125,146.41,364.651875,856.83,1142.44,571.22,292.82,486.2025
5,483.153,644.204,371.293,127.6281562,255.2563125,161.051,382.8844688,1113.879,1485.172,742.586,322.102,510.512625
6,531.4683,708.6244,482.6809,134.0095641,268.0191281,177.1561,402.0286922,1448.0427,1930.7236,965.3618,354.3122,536.0382562
7,584.61513,779.48684,627.48517,140.7100423,281.4200845,194.87171,422.1301268,1882.45551,2509.94068,1254.97034,389.74342,562.8401691
8,643.076643,857.435524,815.730721,147.7455444,295.4910888,214.358881,443.2366331,2447.192163,3262.922884,1631.461442,428.717762,590.9821775
9,707.3843073,943.1790764,1060.449937,155.1328216,310.2656432,235.7947691,465.3984648,3181.349812,4241.799749,2120.899875,471.5895382,620.5312864
10,778.122738,1037.496984,1378.584918,162.8894627,325.7789254,259.374246,488.668388,4135.754755,5514.339674,2757.169837,518.748492,651.5578507
11,855.9350118,1141.246682,1792.160394,171.0339358,342.0678716,285.3116706,513.1018074,5376.481182,7168.641576,3584.320788,570.6233412,684.1357432
12,941.528513,1255.371351,2329.808512,179.5856326,359.1712652,313.8428377,538.7568978,6989.425537,9319.234049,4659.617024,627.6856753,718.3425304
13,1035.681364,1380.908486,3028.751066,188.5649142,377.1298285,345.2271214,565.6947427,9086.253198,12115.00426,6057.502132,690.4542429,754.2596569
14,1139.249501,1518.999334,3937.376386,197.9931599,395.9863199,379.7498336,593.9794798,11812.12916,15749.50554,7874.752771,759.4996672,791.9726398
15,1253.174451,1670.899268,5118.589301,207.8928179,415.7856359,417.7248169,623.6784538,15355.7679,20474.35721,10237.1786,835.4496339,831.5712718
16,1378.491896,1837.989195,6654.166092,218.2874588,436.5749177,459.4972986,654.8623765,19962.49828,26616.66437,13308.33218,918.9945973,873.1498354
17,1516.341085,2021.788114,8650.415919,229.2018318,458.4036636,505.4470285,687.6054953,25951.24776,34601.66368,17300.83184,1010.894057,916.8073271
18,1667.975194,2223.966925,11245.5407,240.6619234,481.3238467,555.9917313,721.9857701,33736.62209,44982.16278,22491.08139,1111.983463,962.6476935
19,1834.772713,2446.363618,14619.2029,252.6950195,505.3900391,611.5909045,758.0850586,43857.60871,58476.81162,29238.40581,1223.181809,1010.780078
20,2018.249985,2690.99998,19004.96377,265.3297705,530.659541,672.7499949,795.9893115,57014.89132,76019.8551,38009.92755,1345.49999,1061.319082