"Daily Weather Observations for Perth, Western Australia for March 2021"
"Prepared at 13:03 UTC on Wednesday 13 April 2022   IDCJDW6111.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,16.7,22.9,10.6,7.4,0.0,E,39,00:42,17.0,93,8,ESE,9,1012.0,19.2,80,7,SE,15,1010.1
,2021-03-2,17.0,30.6,15.6,2.0,7.5,NE,48,18:06,22.2,69,7,ESE,9,1011.0,30.0,45,4,ENE,13,1007.3
,2021-03-3,20.1,28.4,3.6,6.6,2.2,E,33,11:19,21.0,94,8,NE,7,1010.0,25.8,69,7,NNE,11,1006.0
,2021-03-4,20.8,27.3,3.4,2.8,7.5,NE,33,03:24,23.8,80,7,NNW,11,1008.3,26.8,62,4,WNW,13,1008.2
,2021-03-5,20.1,26.7,0.8,3.4,5.4,NW,30,12:30,24.0,67,7,W,11,1012.6,24.6,69,7,W,15,1011.7
,2021-03-6,21.4,28.4,0,4.8,2.7,SSW,28,17:37,23.5,76,7,SSE,7,1013.9,27.3,61,7,S,13,1012.3
,2021-03-7,20.2,30.3,0,4.0,11.4,ENE,24,08:58,24.5,66,1,ENE,13,1015.0,28.9,45,2,SE,11,1012.2
,2021-03-8,20.5,31.7,0,6.8,9.8,ENE,33,22:41,23.4,65,3,E,11,1015.5,31.3,40,1,E,11,1011.4
,2021-03-9,21.2,36.0,0,10.4,10.2,E,31,01:49,26.5,50,1,ENE,11,1012.5,34.8,30,3,NE,9,1007.8
,2021-03-10,25.5,31.3,0,7.6,3.2,NNE,35,02:37,28.1,55,5,NNW,11,1008.5,26.5,70,7,WNW,11,1007.9
,2021-03-11,21.4,27.0,0,5.4,4.2,WNW,30,13:01,24.3,72,7,NNW,7,1011.4,25.4,69,7,WSW,13,1011.7
,2021-03-12,20.6,25.7,5.2,4.0,3.8,SE,33,16:43,21.4,90,7,SSE,15,1017.0,24.6,58,5,ESE,9,1018.9
,2021-03-13,14.6,26.0,0.2,4.8,11.3,SE,33,00:25,18.9,52,1,E,11,1027.5,24.7,31,0,SE,17,1023.6
,2021-03-14,14.4,28.2,0,8.2,11.3,E,35,01:01,19.5,48,0,ENE,15,1025.0,28.1,25,0,E,13,1020.4
,2021-03-15,17.2,30.7,0,8.4,10.2,NE,39,08:53,22.9,33,5,NE,20,1020.8,29.5,22,7,NNE,15,1016.5
,2021-03-16,18.8,34.1,0,9.4,6.2,NNE,31,10:34,24.9,26,4,NE,13,1015.6,32.6,19,3,N,6,1012.1
,2021-03-17,16.1,29.9,0,6.4,11.2,WSW,30,13:10,25.0,47,1,NE,6,1014.5,28.5,49,0,SW,15,1012.8
,2021-03-18,17.5,33.3,0,6.2,11.1,SW,31,16:33,24.3,59,0,ENE,4,1016.9,31.1,42,1,SW,13,1014.2
,2021-03-19,17.3,37.6,0,7.8,9.7,NNE,28,09:25,29.2,26,2,NE,15,1016.8,36.1,11,7,NE,9,1013.7
,2021-03-20,15.5,37.3,0,11.6,10.0,NE,26,09:47,28.3,30,5,E,9,1015.1,36.7,11,5,NNW,9,1011.0
,2021-03-21,16.2,37.6,0,8.4,11.1,W,31,14:28,30.5,23,1,NNE,11,1012.1,33.8,18,1,W,17,1009.6
,2021-03-22,19.2,27.5,0,9.6,10.4,SSW,43,12:53,21.7,70,3,S,17,1014.3,25.2,58,5,SSW,24,1012.9
,2021-03-23,13.8,24.4,0,6.0,11.0,SSW,33,18:36,17.2,54,2,SSE,20,1018.9,24.0,33,1,SSW,13,1014.8
,2021-03-24,13.5,24.9,0,6.0,10.9,SW,37,16:53,18.5,50,0,E,9,1018.6,23.0,41,1,SW,17,1013.6
,2021-03-25,11.7,25.5,0,6.0,10.8,SW,41,15:16,18.6,54,1,SSE,6,1013.8,23.5,45,1,SSW,20,1012.0
,2021-03-26,11.1,26.8,0,6.4,10.9,S,30,16:39,20.2,61,0,ESE,9,1016.8,25.5,48,1,WSW,13,1013.7
,2021-03-27,12.6,28.3,0,5.6,10.7,SSW,28,14:13,20.7,58,1,SSE,7,1016.2,26.1,43,1,SSW,15,1013.6
,2021-03-28,12.7,33.2,0,4.8,10.9,SW,20,14:11,22.6,47,0,NE,6,1014.6,30.1,33,0,WSW,13,1012.4
,2021-03-29,17.3,39.0,0,8.6,10.9,WSW,26,13:45,25.2,47,1,S,7,1013.5,34.7,25,1,W,13,1010.6
,2021-03-30,20.8,29.6,0.4,6.0,9.9,W,22,10:05,25.3,78,3,NNW,7,1015.8,28.5,50,1,W,9,1014.0
,2021-03-31,19.7,26.9,0.8,5.6,3.2,SSW,30,13:39,21.3,82,7,SSE,9,1015.5,25.4,60,7,SSW,13,1013.5